Category,Exercise,Difficulty,Duration Type,Description
Lower Body,Single-leg glute bridges — chair-assisted,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Single-leg glute bridges — wall-supported,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Frog pumps,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — slow tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — 3-1-3 tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — pulse reps,All Levels,Reps,"Perform small, controlled movements in a limited range to keep constant tension on the target muscles."
Lower Body,Frog pumps — with 2s pause,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — partial range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — bottom-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — top-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — chair-assisted,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Frog pumps — wall-supported,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Hip thrusts (floor),All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — slow tempo,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — 3-1-3 tempo,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — pulse reps,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — with 2s pause,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — partial range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — bottom-half range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — top-half range,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — chair-assisted,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Hip thrusts (floor) — wall-supported,All Levels,Reps,"Lie on your back with knees bent, lift your hips by squeezing your glutes, and keep your core tight throughout."
Lower Body,Donkey kicks,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — slow tempo,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — 3-1-3 tempo,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — pulse reps,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — with 2s pause,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — partial range,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — bottom-half range,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — top-half range,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — chair-assisted,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Donkey kicks — wall-supported,All Levels,Reps,"Start on hands and knees, lift one leg upward while keeping your core steady and avoid arching your back."
Lower Body,Fire hydrants,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — slow tempo,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — 3-1-3 tempo,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — pulse reps,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — with 2s pause,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — partial range,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — bottom-half range,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — top-half range,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — chair-assisted,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Fire hydrants — wall-supported,All Levels,Reps,"From all fours, lift one knee out to the side without rotating your hips, keeping your core engaged."
Lower Body,Standing hamstring curls,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — slow tempo,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — 3-1-3 tempo,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — pulse reps,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — with 2s pause,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — partial range,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — bottom-half range,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — top-half range,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — chair-assisted,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Standing hamstring curls — wall-supported,All Levels,Reps,"Stand or lie face down, bend your knees to bring your heels toward your glutes, and control the motion both ways."
Lower Body,Good mornings (hip hinge),All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — slow tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — 3-1-3 tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — pulse reps,All Levels,Reps,"Perform small, controlled movements in a limited range to keep constant tension on the target muscles."
Lower Body,Good mornings (hip hinge) — with 2s pause,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — partial range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — bottom-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — top-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — chair-assisted,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Good mornings (hip hinge) — wall-supported,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front),All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — slow tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — 3-1-3 tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — pulse reps,All Levels,Reps,"Perform small, controlled movements in a limited range to keep constant tension on the target muscles."
Lower Body,Standing leg raises (front) — with 2s pause,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — partial range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — bottom-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — top-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — chair-assisted,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (front) — wall-supported,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side),All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — slow tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — 3-1-3 tempo,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — pulse reps,All Levels,Reps,"Perform small, controlled movements in a limited range to keep constant tension on the target muscles."
Lower Body,Standing leg raises (side) — with 2s pause,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — partial range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — bottom-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — top-half range,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — chair-assisted,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
Lower Body,Standing leg raises (side) — wall-supported,All Levels,Reps,"Keep your core tight, move through your hips and knees with control, and maintain even pressure through your feet."
